ID,Year
570,2003-05-22
571,2003-05-21
572,2003-05-16
573,2003-05-16
574,2003-05-16
575,2003-05-15
576,2003-05-15
577,1995-09-05
578,2003-05-14
579,2003-05-14
580,1997-01-01
581,2001-01-09
582,1999-02-06
583,1997-11-01
584,1997-11-01
585,2002-07-03
586,2003-05-06
587,2003-05-03
588,2003-05-02
589,2003-05-02
590,2003-05-02
591,2003-02-04
592,2003-05-02
593,2003-05-02
594,2003-05-02
595,2003-04-29
596,2002-08-03
597,2003-04-22
598,2003-04-19
599,1995-12-09
600,1998-03-11
601,2003-04-18
602,2003-04-18
603,2003-04-12
604,2003-04-12
605,2003-04-11
606,2003-04-11
607,2002-06-14
608,1999-05-01
609,2003-04-10
610,2003-04-08
611,2003-04-03
612,2003-04-02
613,2002-10-09
614,2003-04-02
615,1998-05-14
616,2003-03-27
617,2003-03-27
618,2003-02-25
619,2003-03-22
620,2003-03-20
621,2003-03-14
622,2002-04-09
623,2002-06-18
624,2003-03-05
625,2003-02-26
626,2003-02-19
627,2003-02-13
628,2003-02-11
629,2000-08-18
630,2003-02-11
631,1998-03-08
632,1996-04-07
633,2003-02-08
634,2003-02-07
635,2003-02-06
636,1993-07-01
637,1992-01-01
638,2003-02-06
639,2003-01-30
640,2003-01-25
641,2003-01-25
642,2003-01-25
643,2000-03-17
644,2003-01-18
645,2003-01-17
646,2003-01-17
647,2003-01-10
648,2002-11-05
649,2003-01-07
650,2002-12-28
651,2002-12-25
652,2002-12-21
653,2001-03-17
654,1995-04-01
655,1993-03-01
656,2002-12-19
657,2002-12-18
658,2002-12-17
659,2002-12-13
660,2002-12-06
661,2002-12-06
662,2002-12-06
663,2002-12-05
664,2002-12-05
665,2002-12-04
666,2002-12-04
667,2002-11-30
668,2002-11-28
669,2002-11-20
670,2002-05-10
671,2002-11-20
672,2002-11-15
673,2002-11-08
674,2002-11-07
675,2002-11-06
676,2002-11-06
677,2002-11-06
678,2002-11-06
679,2002-11-05
680,2002-11-01
681,2002-10-31
682,2002-10-31
683,2002-10-29
684,2002-10-26
685,2002-10-26
686,2002-10-26
687,2000-07-06
688,2000-04-27
689,2002-10-24
690,2002-10-24
691,2000-05-23
692,1999-11-30
693,1994-04-08
694,1998-04-07
695,2002-10-23
696,2002-10-11
697,2002-10-03
698,2002-10-01
699,2002-09-27
700,2002-09-27
701,2002-09-26
702,2002-09-25
703,2002-09-18
704,2002-05-15
705,2002-09-14
706,2002-02-19
707,2002-09-14
708,2002-09-13
709,2002-09-05
710,2002-09-05
711,2002-09-03
712,2000-02-08
713,2001-04-05
714,2002-09-03
715,2002-08-31
716,2002-08-28
717,1991-01-01
718,2002-08-27
719,2002-08-24
720,2002-08-21
721,2002-08-10
722,2002-08-09
723,2002-08-08
724,2002-08-07
725,2002-08-07
726,1999-08-25
727,2002-08-06
728,2002-08-06
729,2002-08-06
730,2002-07-24
731,2002-07-24
732,2002-06-28
733,2002-06-18
734,2002-07-23
735,2002-07-20
736,2002-07-16
737,2001-02-24
738,2002-07-13
739,2002-07-12
740,1993-02-01
741,2002-06-28
742,2002-06-28
743,2002-06-28
744,2002-06-25
745,2002-06-25
746,2002-06-20
747,2002-06-20
748,2002-01-05
749,2001-09-12
750,2002-06-13
751,2002-06-12
752,2002-06-08
753,2002-06-05
754,2001-11-28
755,2002-06-01
756,2002-06-01
757,2002-05-28
758,1998-06-06
759,2002-05-25
760,2002-05-25
761,1996-08-01
762,2002-05-25
763,2002-05-23
764,2002-05-17
765,2002-05-16
766,2002-01-05
767,2002-05-15
768,2002-04-02
769,2002-05-15
770,2002-05-10
771,2002-05-10
772,2002-05-09
773,2002-05-07
774,2002-05-04
775,2001-02-24
776,2002-05-03
777,2002-05-01
778,2002-04-30
779,2002-04-20
780,2002-04-20
781,2002-04-11
782,2002-04-05
783,2001-09-21
784,2001-04-11
785,2002-04-04
786,2002-03-30
787,2002-03-26
788,2002-03-23
789,2002-03-22
790,2002-03-13
791,2002-03-12
792,2002-02-28
793,2002-02-23
794,2000-03-07
795,2002-02-23
796,2002-02-22
797,2002-02-19
798,2002-02-19
799,2002-02-16
800,2002-02-16
801,2000-03-11
802,1997-04-10
803,2002-02-09
804,2002-02-07
805,2002-02-05
806,2002-02-01
807,2002-01-25
808,2002-01-22
809,2002-01-19
810,2002-01-19
811,2002-01-18
812,2002-01-17
813,2002-01-05
814,2002-01-05
815,2002-01-05
816,2001-12-23
817,2001-12-18
818,2001-12-12
819,2001-12-12
820,2001-07-05
821,1998-03-21
822,2001-12-06
823,2001-12-01
824,2001-12-01
825,2001-11-29
826,2001-11-27
827,2001-11-22
828,1999-11-05
829,2001-11-10
830,2001-11-10
831,2001-11-07
832,2001-11-06
833,2001-11-01
834,2001-10-31
835,2001-10-30
836,2001-10-27
837,2001-10-25
838,2001-10-24
839,2001-10-18
840,2001-10-18
841,2000-08-30
842,2001-10-16
843,2001-10-03
844,2001-09-28
845,2001-09-28
846,2001-09-26
847,2001-09-25
848,2000-08-01
849,1998-12-30
850,1998-06-25
851,2001-09-19
852,2001-09-11
853,2001-09-05
854,2001-09-04
855,2001-08-28
856,2001-08-25
857,2001-08-23
858,2001-08-16
859,2001-08-10
860,1997-10-04
861,1995-12-09
862,1993-05-08
863,2001-08-08
864,2001-07-31
865,2001-07-28
866,2001-07-27
867,2001-07-27
868,2001-07-24
869,2001-07-21
870,2001-07-19
871,2001-07-17
872,2001-07-14
873,2001-07-12
874,2001-07-11
875,2001-07-11
876,2001-07-06
877,2001-07-05
878,2001-07-05
879,2001-07-04
880,2001-06-26
881,2001-06-23
882,2001-06-21
883,2001-06-13
884,2001-06-13
885,2001-06-09
886,1995-12-09
887,2001-06-05
888,1998-04-09
889,1994-08-01
890,1992-10-01
891,2001-05-31
892,2001-05-29
893,1999-11-11
894,2001-05-26
895,2001-05-23
896,2001-05-17
897,2001-05-12
898,2001-05-12
899,1997-01-01
900,2001-05-12
901,2001-05-01
902,2001-05-01
903,2001-05-01
904,2001-04-28
905,1995-05-01
906,2001-04-28
907,2001-04-27
908,2001-04-21
909,2001-04-17
910,2001-04-11
911,1999-07-08
912,1999-04-02
913,1999-09-03
914,2001-04-11
915,2001-04-11
916,2001-03-30
917,2001-03-27
918,2001-03-23
919,2001-03-23
920,2001-03-10
921,2001-03-10
922,2001-02-24
923,2001-02-24
924,2001-02-24
925,1995-04-08
926,2001-02-24
927,2001-02-24
928,2001-02-24
929,2001-02-24
930,2001-02-24
931,2001-02-24
932,2001-02-15
933,2001-02-15
934,2001-02-15
935,2001-02-13
936,2001-02-13
937,2001-02-07
938,2001-02-07
939,2001-01-13
940,2001-01-09
941,2001-01-06
942,2001-01-04
943,2001-01-04
944,2001-01-04
945,2000-12-29
946,2000-12-08
947,2000-12-08
948,2000-12-07
949,1994-09-22
950,2000-11-30
951,2000-11-30
952,2000-11-30
953,2000-11-22
954,1999-01-13
955,1997-07-01
956,2000-11-18
957,2000-11-07
958,2000-10-13
959,2000-10-12
960,2000-09-30
961,2000-09-30
962,2000-09-30
963,2000-09-29
964,2000-09-22
965,2000-09-15
966,2000-09-14
967,2000-08-31
968,2000-08-29
969,2000-08-26
970,1997-11-14
971,1995-07-01
972,2000-08-25
973,2000-08-22
974,2000-08-19
975,2000-08-18
976,2000-08-16
977,2000-08-15
978,2000-08-11
979,2000-06-13
980,2000-03-21
981,2000-08-11
982,2000-08-10
983,2000-08-10
984,2000-08-10
985,2000-08-05
986,1995-07-01
987,1993-07-01
988,2000-08-05
989,2000-08-01
990,2000-08-01
991,2000-07-25
992,2000-07-14
993,2000-07-06
994,2000-07-06
995,2000-06-30
996,2000-06-29
997,2000-06-16
998,2000-06-14
999,2000-06-10
1000,2000-06-10
1001,2000-06-02
1002,2000-06-01
1003,2000-05-29
1004,2000-05-24
1005,2000-05-17
1006,2000-05-17
1007,1992-07-01
1008,1999-11-05
1009,2000-05-16
1010,2000-05-10
1011,2000-05-03
1012,2000-05-02
1013,2000-05-01
1014,1997-01-01
1015,1994-04-01
1016,2000-05-01
1017,2000-05-01
1018,2000-04-25
1019,2000-04-13
1020,2000-04-13
1021,2000-04-13
1022,2000-04-05
1023,2000-04-05
1024,2000-03-29
1025,1995-01-01
1026,2000-03-29
1027,2000-03-21
1028,2000-03-21
1029,2000-01-06
1030,2000-03-21
1031,2000-03-14
1032,2000-03-11
1033,2000-03-09
1034,2000-03-08
1035,2000-03-04
1036,2000-03-01
1037,2000-02-22
1038,2000-02-22
1039,2000-02-19
1040,1996-09-01
1041,1995-01-01
1042,1992-01-01
1043,2000-02-10
1044,2000-02-09
1045,2000-02-05
1046,2000-02-05
1047,2000-01-11
1048,2000-01-06
1049,1999-10-28
1050,2000-01-06
1051,2000-01-06
1052,2000-01-06
1053,2000-01-05
1054,2000-01-01
1055,1999-12-23
1056,1999-12-10
1057,1999-12-03
1058,1995-05-08
1059,1999-11-26
1060,1990-08-01
1061,1999-11-26
1062,1999-11-17
1063,1993-10-01
1064,1999-11-11
1065,1999-11-11
1066,1999-10-28
1067,1999-10-28
1068,1999-10-08
1069,1999-10-08
1070,1995-07-01
1071,1999-09-14
1072,1999-09-11
1073,1999-09-09
1074,1999-08-27
1075,1999-08-25
1076,1999-08-24
1077,1999-08-24
1078,1999-08-04
1079,1999-08-01
1080,1999-07-31
1081,1999-07-29
1082,1999-07-28
1083,1999-07-16
1084,1996-04-01
1085,1999-07-16
1086,1999-07-15
1087,1997-05-01
1088,1996-05-01
1089,1999-07-09
1090,1999-07-09
1091,1999-07-09
1092,1999-07-02
1093,1999-07-01
1094,1999-07-01
1095,1993-02-07
1096,1992-12-09
1097,1999-07-01
1098,1999-07-01
1099,1993-03-09
1100,1999-06-29
1101,1999-06-11
1102,1999-06-09
1103,1995-07-01
1104,1994-10-01
1105,1999-06-09
1106,1999-06-04
1107,1999-05-27
1108,1999-05-27
1109,1989-09-01
1110,1999-05-27
1111,1999-05-27
1112,1999-05-27
1113,1999-05-27
1114,1999-05-27
1115,1999-05-27
1116,1996-11-03
1117,1996-10-04
1118,1999-05-13
1119,1999-05-11
1120,1999-05-08
1121,1999-05-06
1122,1998-04-29
1123,1999-05-06
1124,1999-04-14
1125,1999-04-10
1126,1999-04-09
1127,1999-04-09
1128,1999-04-03
1129,1999-04-02
1130,1999-04-02
1131,1999-03-25
1132,1999-03-19
1133,1999-03-09
1134,1997-10-07
1135,1999-03-18
1136,1999-03-06
1137,1999-03-04
1138,1999-02-27
1139,1999-01-23
1140,1994-07-01
1141,1990-01-01
1142,1987-09-01
1143,1999-02-20
1144,1999-02-10
1145,1999-02-09
1146,1999-02-06
1147,1999-01-30
1148,1999-01-12
1149,1999-01-12
1150,1999-01-01
1151,1995-01-01
1152,1998-12-29
1153,1998-10-20
1154,1998-12-29
1155,1998-12-22
1156,1998-12-18
1157,1998-12-09
1158,1998-12-05
1159,1998-12-02
1160,1998-11-26
1161,1998-11-17
1162,1998-11-14
1163,1998-11-14
1164,1996-02-01
1165,1995-11-01
1166,1995-04-01
1167,1995-04-01
1168,1995-01-01
1169,1993-10-01
1170,1993-09-01
1171,1998-11-13
1172,1992-10-01
1173,1995-05-01
1174,1998-11-04
1175,1998-11-04
1176,1998-11-03
1177,1998-10-30
1178,1998-10-28
1179,1998-10-20
1180,1998-10-08
1181,1998-09-24
1182,1998-09-18
1183,1998-09-16
1184,1993-12-09
1185,1998-09-04
1186,1998-09-04
1187,1998-09-02
1188,1998-08-29
1189,1998-08-29
1190,1998-08-28
1191,1998-08-08
1192,1998-08-05
1193,1997-04-07
1194,1998-08-05
1195,1998-08-05
1196,1994-03-04
1197,1998-07-24
1198,1998-07-21
1199,1998-07-14
1200,1998-07-11
1201,1998-07-04
1202,1998-07-04
1203,1998-07-03
1204,1998-06-23
1205,1998-06-17
1206,1998-06-11
1207,1998-06-06
1208,1998-05-30
1209,1998-05-26
